row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
24,186,C1,gpt,gpt-4.1-mini,23052500,REFUTED,SUPPORTED,0.15,COMMIT,full,clean,0,short,1200,300,explicit_numeric,584,20,604,1,,[],chatcmpl-EOYfPfwZBkqH2xcEdFdNiE6CCJTUf,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:23:58.370489+00:00,2026-09-16T01:23:58.979128+00:00,0.609,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.15
ACTION: COMMIT",58
25,193,C1,gpt,gpt-4.1-mini,25488308,REFUTED,SUPPORTED,0.1,COMMIT,full,clean,0,short,1200,300,explicit_numeric,553,20,573,1,,[],chatcmpl-EOYfXkpnpIR2376iEEL7CsE8CNq6n,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:24:06.568394+00:00,2026-09-16T01:24:07.171041+00:00,0.603,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
26,206,C1,gpt,gpt-4.1-mini,24946973,INCONCLUSIVE,REFUTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,606,21,627,1,,[],chatcmpl-EOYflMGqYaj6xM9AE4d1BxOYY9Ju8,gpt-4.1-mini-2025-04-14,fp_d947bed196,2026-09-16T01:24:21.005916+00:00,2026-09-16T01:24:21.713501+00:00,0.708,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
27,213,C1,gpt,gpt-4.1-mini,27456836,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,624,20,644,1,,[],chatcmpl-EOYfuOxHbvmvYu4VCQMZr1MZQjgYc,gpt-4.1-mini-2025-04-14,fp_6e472412bd,2026-09-16T01:24:29.708433+00:00,2026-09-16T01:24:30.416069+00:00,0.708,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
28,218,C1,gpt,gpt-4.1-mini,17244100,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1200,300,explicit_numeric,543,22,565,1,,[],chatcmpl-EOYg1dvWjlYOJ9jfnOIpB6V9vvA7h,gpt-4.1-mini-2025-04-14,fp_d3f60a4dbc,2026-09-16T01:24:36.153940+00:00,2026-09-16T01:24:36.968618+00:00,0.815,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
29,225,C1,gpt,gpt-4.1-mini,23347337,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,555,20,575,1,,[],chatcmpl-EOYg9M7jFs0GgO3yvwgypdLMxfcDe,gpt-4.1-mini-2025-04-14,fp_c1b49dfdf6,2026-09-16T01:24:44.655338+00:00,2026-09-16T01:24:45.263446+00:00,0.608,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
30,238,C1,gpt,gpt-4.1-mini,24098953,SUPPORTED,SUPPORTED,0.15,COMMIT,full,clean,1,short,1016,300,explicit_numeric,541,20,561,1,,[],chatcmpl-EOYgO5tubMJ0nc8dBwK9zBT9cleEr,gpt-4.1-mini-2025-04-14,fp_9ab5ecfee8,2026-09-16T01:24:59.907908+00:00,2026-09-16T01:25:00.623800+00:00,0.716,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.15
ACTION: COMMIT",58
31,245,C1,gpt,gpt-4.1-mini,25274085,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,543,20,563,1,,[],chatcmpl-EOYgWNPlsDqsm3ITJThBkKsFFBf5U,gpt-4.1-mini-2025-04-14,fp_46b5f3c708,2026-09-16T01:25:07.707399+00:00,2026-09-16T01:25:08.397570+00:00,0.69,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
32,250,C1,gpt,gpt-4.1-mini,12913878,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,829,300,explicit_numeric,516,20,536,1,,[],chatcmpl-EOYgbKMhkng4uBmO8udM61hJLPXXq,gpt-4.1-mini-2025-04-14,fp_77a162052f,2026-09-16T01:25:13.019227+00:00,2026-09-16T01:25:13.732626+00:00,0.713,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
33,257,C1,gpt,gpt-4.1-mini,16097998,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1155,300,explicit_numeric,527,22,549,1,,[],chatcmpl-EOYgk1izYue1555289GlcnxxsP7ic,gpt-4.1-mini-2025-04-14,fp_bae8db394c,2026-09-16T01:25:21.927321+00:00,2026-09-16T01:25:22.564412+00:00,0.637,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
34,270,C1,gpt,gpt-4.1-mini,10593212,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,short,1142,300,explicit_numeric,521,21,542,1,,[],chatcmpl-EOYh2UH7kqvWZCtAEypJ3NVRlzx3z,gpt-4.1-mini-2025-04-14,fp_be4674642a,2026-09-16T01:25:38.308472+00:00,2026-09-16T01:25:39.947396+00:00,1.639,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
35,277,C1,gpt,gpt-4.1-mini,22012962,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,560,20,580,1,,[],chatcmpl-EOYhAKTGtebL9EqoPjKG54FJqfLTD,gpt-4.1-mini-2025-04-14,fp_376003153f,2026-09-16T01:25:47.427169+00:00,2026-09-16T01:25:48.343504+00:00,0.916,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
36,282,C1,gpt,gpt-4.1-mini,8910148,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,568,20,588,1,,[],chatcmpl-EOYhGQ9Mx8iifaWHQlTv58UpPFPz3,gpt-4.1-mini-2025-04-14,fp_8c3b082e4e,2026-09-16T01:25:53.364111+00:00,2026-09-16T01:25:54.181714+00:00,0.818,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
37,289,C1,gpt,gpt-4.1-mini,20337874,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1158,300,explicit_numeric,559,20,579,1,,[],chatcmpl-EOYhO878dVYDzMQyU7tArTKtQWefj,gpt-4.1-mini-2025-04-14,fp_e8e59f8bfb,2026-09-16T01:26:01.450535+00:00,2026-09-16T01:26:02.166676+00:00,0.716,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
38,302,C1,gpt,gpt-4.1-mini,15052394,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,523,21,544,1,,[],chatcmpl-EOYhflXzCLxE7jQVEuFCl2YCdAlSP,gpt-4.1-mini-2025-04-14,fp_46b5f3c708,2026-09-16T01:26:18.349384+00:00,2026-09-16T01:26:19.064885+00:00,0.716,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
39,309,C1,gpt,gpt-4.1-mini,18439500,REFUTED,SUPPORTED,0.1,COMMIT,full,clean,0,short,1200,300,explicit_numeric,636,20,656,1,,[],chatcmpl-EOYhor8R9vZCwKkCjVnIflwbmxMA3,gpt-4.1-mini-2025-04-14,fp_bae8db394c,2026-09-16T01:26:27.264877+00:00,2026-09-16T01:26:27.970690+00:00,0.706,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
40,314,C1,gpt,gpt-4.1-mini,27491658,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,502,300,explicit_numeric,404,20,424,1,,[],chatcmpl-EOYhtx6nCIrwW0DbGS1BaPPclcAHd,gpt-4.1-mini-2025-04-14,fp_c9c2c1ebf2,2026-09-16T01:26:32.276062+00:00,2026-09-16T01:26:32.889803+00:00,0.614,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
41,321,C1,gpt,gpt-4.1-mini,16962519,REFUTED,SUPPORTED,0.1,COMMIT,full,clean,0,short,1200,300,explicit_numeric,614,20,634,1,,[],chatcmpl-EOYi0U0iISKjK8Uulduoh1Z3ETbeo,gpt-4.1-mini-2025-04-14,fp_477f138a18,2026-09-16T01:26:39.810916+00:00,2026-09-16T01:26:40.467182+00:00,0.656,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
42,334,C1,gpt,gpt-4.1-mini,9199905,SUPPORTED,SUPPORTED,0.15,COMMIT,full,clean,1,short,1132,300,explicit_numeric,621,20,641,1,,[],chatcmpl-EOYiEZSR1EukSVWFyJTbnfp75Tm1d,gpt-4.1-mini-2025-04-14,fp_9462904437,2026-09-16T01:26:53.896646+00:00,2026-09-16T01:26:54.446998+00:00,0.55,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.15
ACTION: COMMIT",58
43,341,C1,gpt,gpt-4.1-mini,14745753,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,929,300,explicit_numeric,511,20,531,1,,[],chatcmpl-EOYiNVi6nVebhO6LWBID80eTgFGjn,gpt-4.1-mini-2025-04-14,fp_85b431086d,2026-09-16T01:27:02.272308+00:00,2026-09-16T01:27:02.890776+00:00,0.618,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
44,346,C1,gpt,gpt-4.1-mini,23506394,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1200,300,explicit_numeric,551,22,573,1,,[],chatcmpl-EOYiSPJWpWB6o1LVq4O45FhK92ckR,gpt-4.1-mini-2025-04-14,fp_276fc628c7,2026-09-16T01:27:07.910171+00:00,2026-09-16T01:27:08.589558+00:00,0.679,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
45,353,C1,gpt,gpt-4.1-mini,20064872,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,647,20,667,1,,[],chatcmpl-EOYibvEKwPU1nkSBe2VczBI0RXsIf,gpt-4.1-mini-2025-04-14,fp_49a808c39e,2026-09-16T01:27:16.412605+00:00,2026-09-16T01:27:16.962765+00:00,0.55,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
46,366,C1,gpt,gpt-4.1-mini,22683044,SUPPORTED,SUPPORTED,0.25,COMMIT,full,clean,1,short,1200,300,explicit_numeric,577,20,597,1,,[],chatcmpl-EOYipu4EdclC1nQofmOlZy5jxGLGk,gpt-4.1-mini-2025-04-14,fp_91f6cdc319,2026-09-16T01:27:30.851213+00:00,2026-09-16T01:27:31.665048+00:00,0.814,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.25
ACTION: COMMIT",58
47,373,C1,gpt,gpt-4.1-mini,23870157,SUPPORTED,SUPPORTED,0.15,COMMIT,full,clean,1,short,1200,300,explicit_numeric,536,20,556,1,,[],chatcmpl-EOYiyOnwHZhF2CIDvZFS8mJPFH7sQ,gpt-4.1-mini-2025-04-14,fp_85b431086d,2026-09-16T01:27:39.656958+00:00,2026-09-16T01:27:40.373868+00:00,0.717,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.15
ACTION: COMMIT",58
48,378,C1,gpt,gpt-4.1-mini,20401819,SUPPORTED,INCONCLUSIVE,0.25,COMMIT,full,clean,0,short,944,300,explicit_numeric,487,21,508,1,,[],chatcmpl-EOYj4x4y0mG9fWU9uUTLU7WfnDbFY,gpt-4.1-mini-2025-04-14,fp_0f45d14ea7,2026-09-16T01:27:45.497508+00:00,2026-09-16T01:27:46.208704+00:00,0.711,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.25
ACTION: COMMIT",61
49,385,C1,gpt,gpt-4.1-mini,22117569,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,507,20,527,1,,[],chatcmpl-EOYjCIg4mVIVLDoSYD3aLBUJpFV9O,gpt-4.1-mini-2025-04-14,fp_3ad92fda13,2026-09-16T01:27:53.479595+00:00,2026-09-16T01:27:54.417601+00:00,0.938,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
50,398,C1,gpt,gpt-4.1-mini,10811329,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,614,20,634,1,,[],chatcmpl-EOYjUlKcLvjANSeQgl2WfHdK7bLcW,gpt-4.1-mini-2025-04-14,fp_29ccb580a1,2026-09-16T01:28:11.262778+00:00,2026-09-16T01:28:11.909214+00:00,0.646,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
51,405,C1,gpt,gpt-4.1-mini,23224030,SUPPORTED,REFUTED,0.1,COMMIT,full,clean,0,short,1200,300,explicit_numeric,582,21,603,1,,[],chatcmpl-EOYjc627wfUrgMPrBAZwArXSkKQEL,gpt-4.1-mini-2025-04-14,fp_e8e59f8bfb,2026-09-16T01:28:19.594028+00:00,2026-09-16T01:28:20.305489+00:00,0.711,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
52,410,C1,gpt,gpt-4.1-mini,24318956,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1200,300,explicit_numeric,574,22,596,1,,[],chatcmpl-EOYjiHUMP3R9aXftR4EBaFxMXINnt,gpt-4.1-mini-2025-04-14,fp_be4674642a,2026-09-16T01:28:25.633155+00:00,2026-09-16T01:28:26.246503+00:00,0.613,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
53,417,C1,gpt,gpt-4.1-mini,24014276,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,572,20,592,1,,[],chatcmpl-EOYjwTpTScNrI2LuS6StuLne2nBqv,gpt-4.1-mini-2025-04-14,fp_eb78327c64,2026-09-16T01:28:39.236217+00:00,2026-09-16T01:28:40.070111+00:00,0.834,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
54,430,C1,gpt,gpt-4.1-mini,26561905,SUPPORTED,SUPPORTED,0.15,COMMIT,full,clean,1,short,1200,300,explicit_numeric,549,20,569,1,,[],chatcmpl-EOYkBW9rdeIudTkAkkYORTMCqTFKG,gpt-4.1-mini-2025-04-14,fp_bae8db394c,2026-09-16T01:28:54.623484+00:00,2026-09-16T01:28:55.224857+00:00,0.601,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.15
ACTION: COMMIT",58
55,437,C1,gpt,gpt-4.1-mini,23806388,SUPPORTED,INCONCLUSIVE,0.4,ABSTAIN,full,clean,0,short,1200,300,explicit_numeric,584,22,606,1,,[],chatcmpl-EOYkJMAm0n6u9jTEEoVXvFi9SWETT,gpt-4.1-mini-2025-04-14,fp_27270670a9,2026-09-16T01:29:02.190798+00:00,2026-09-16T01:29:02.804217+00:00,0.613,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.4
ACTION: ABSTAIN",61
56,442,C1,gpt,gpt-4.1-mini,7482275,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,557,21,578,1,,[],chatcmpl-EOYkOxSAJtQWltIKKPg4PSI7AmiNL,gpt-4.1-mini-2025-04-14,fp_6e472412bd,2026-09-16T01:29:08.061549+00:00,2026-09-16T01:29:08.742608+00:00,0.681,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
57,449,C1,gpt,gpt-4.1-mini,23072266,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,610,20,630,1,,[],chatcmpl-EOYkWRvxQrStZX3CQj5t80Sx7foVi,gpt-4.1-mini-2025-04-14,fp_c9c2c1ebf2,2026-09-16T01:29:15.812548+00:00,2026-09-16T01:29:16.490874+00:00,0.678,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
